MSME_ID,Sector,Growth_Category,Selected_Scheme,Subsidy_Cost,Revenue_Before,Revenue_After,Revenue_Gain,Jobs_Created
MSME_164,Technology,High,Pharma R&D Incentive,1000000,320,400.0,80.0,10
MSME_166,Manufacturing,Moderate,Textile Modernization,550000,227,254.24,27.24,7
MSME_169,Renewable Energy,High,Green Tech Grant,850000,123,150.06,27.06,9
MSME_173,Retail,Moderate,Rural Agri-Boost,400000,312,358.8,46.8,6
MSME_179,Manufacturing,Moderate,Textile Modernization,550000,296,331.52,35.52,7
MSME_180,Retail,Moderate,Rural Agri-Boost,400000,663,762.45,99.45,6
MSME_185,Manufacturing,High,Green Tech Grant,850000,611,745.42,134.42,9
MSME_189,Renewable Energy,High,Green Tech Grant,850000,594,724.68,130.68,9
MSME_193,Manufacturing,High,Green Tech Grant,850000,697,850.34,153.34,9
MSME_196,Services,Low,Digital Startup Fund,300000,766,842.6,76.6,4
MSME_197,Services,Low,Digital Startup Fund,300000,598,657.8,59.8,4
MSME_200,Retail,Moderate,Rural Agri-Boost,400000,333,382.95,49.95,6
MSME_201,Renewable Energy,High,Green Tech Grant,850000,619,755.18,136.18,9
MSME_203,Renewable Energy,High,Green Tech Grant,850000,111,135.42,24.42,9
MSME_214,Renewable Energy,High,Green Tech Grant,850000,340,414.8,74.8,9
MSME_215,Retail,Moderate,Rural Agri-Boost,400000,650,747.5,97.5,6
MSME_217,Technology,High,Pharma R&D Incentive,1000000,464,580.0,116.0,10
MSME_218,Agri-Tech,Moderate,Rural Agri-Boost,400000,610,701.5,91.5,6
MSME_231,Pharmaceuticals,High,Pharma R&D Incentive,1000000,300,375.0,75.0,10
MSME_233,Technology,Low,Digital Startup Fund,300000,276,303.6,27.6,4
MSME_239,Retail,Moderate,Rural Agri-Boost,400000,459,527.85,68.85,6
MSME_247,Manufacturing,High,Green Tech Grant,850000,313,381.86,68.86,9
MSME_248,Manufacturing,High,Green Tech Grant,850000,302,368.44,66.44,9
MSME_250,Retail,Moderate,Rural Agri-Boost,400000,749,861.35,112.35,6
MSME_264,Manufacturing,Moderate,Textile Modernization,550000,408,456.96,48.96,7
MSME_267,Technology,Low,Digital Startup Fund,300000,792,871.2,79.2,4
MSME_269,Renewable Energy,High,Green Tech Grant,850000,798,973.56,175.56,9
MSME_275,Manufacturing,Moderate,Textile Modernization,550000,573,641.76,68.76,7
MSME_277,Manufacturing,High,Green Tech Grant,850000,548,668.56,120.56,9
MSME_279,Manufacturing,High,Green Tech Grant,850000,760,927.2,167.2,9
MSME_281,Technology,High,Pharma R&D Incentive,1000000,300,375.0,75.0,10
MSME_287,Manufacturing,Moderate,Textile Modernization,550000,667,747.04,80.04,7
MSME_288,Agri-Tech,Moderate,Rural Agri-Boost,400000,11,12.65,1.65,6
MSME_289,Manufacturing,High,Green Tech Grant,850000,598,729.56,131.56,9
MSME_293,Manufacturing,Moderate,Textile Modernization,550000,359,402.08,43.08,7
MSME_298,Renewable Energy,High,Green Tech Grant,850000,595,725.9,130.9,9
MSME_299,Agri-Tech,Moderate,Rural Agri-Boost,400000,48,55.2,7.2,6
MSME_311,Textiles,Moderate,Textile Modernization,550000,181,202.72,21.72,7
MSME_312,Renewable Energy,High,Green Tech Grant,850000,385,469.7,84.7,9
MSME_323,Technology,High,Pharma R&D Incentive,1000000,792,990.0,198.0,10
MSME_326,Pharmaceuticals,High,Pharma R&D Incentive,1000000,642,802.5,160.5,10
MSME_328,Renewable Energy,High,Green Tech Grant,850000,691,843.02,152.02,9
MSME_330,Textiles,Moderate,Textile Modernization,550000,161,180.32,19.32,7
MSME_331,Manufacturing,Moderate,Textile Modernization,550000,729,816.48,87.48,7
MSME_336,Textiles,Moderate,Textile Modernization,550000,59,66.08,7.08,7
MSME_337,Agri-Tech,Moderate,Rural Agri-Boost,400000,673,773.95,100.95,6
MSME_346,Renewable Energy,High,Green Tech Grant,850000,251,306.22,55.22,9
MSME_352,Manufacturing,High,Green Tech Grant,850000,235,286.7,51.7,9
MSME_353,Manufacturing,Moderate,Textile Modernization,550000,682,763.84,81.84,7
MSME_354,Textiles,Moderate,Textile Modernization,550000,640,716.8,76.8,7
MSME_355,Textiles,Moderate,Textile Modernization,550000,670,750.4,80.4,7
MSME_356,Renewable Energy,High,Green Tech Grant,850000,671,818.62,147.62,9
MSME_359,Manufacturing,High,Green Tech Grant,850000,428,522.16,94.16,9
MSME_360,Retail,Moderate,Rural Agri-Boost,400000,464,533.6,69.6,6
MSME_362,Manufacturing,High,Green Tech Grant,850000,532,649.04,117.04,9
MSME_363,Manufacturing,Moderate,Textile Modernization,550000,659,738.08,79.08,7
MSME_365,Renewable Energy,High,Green Tech Grant,850000,86,104.92,18.92,9
MSME_378,Manufacturing,High,Green Tech Grant,850000,762,929.64,167.64,9
MSME_380,Manufacturing,High,Green Tech Grant,850000,289,352.58,63.58,9
MSME_390,Manufacturing,Moderate,Textile Modernization,550000,630,705.6,75.6,7
MSME_394,Textiles,Moderate,Textile Modernization,550000,362,405.44,43.44,7
MSME_399,Textiles,Moderate,Textile Modernization,550000,79,88.48,9.48,7
